item,unit,price,currency
"Potatoes (Holland, white)",KG,52.5,BDT
Wheat flour,KG,51.0,BDT
Eggs (brown),1 piece,13.0,BDT
Sugar,KG,130.0,BDT
Oil (palm),L,142.25,BDT
Chili (green),KG,182.5,BDT
Gourd (bottle),KG,60.0,BDT
Papaya (green),KG,32.5,BDT
Spinach (malabar),KG,23.25,BDT
Wheat flour,KG,52.25,BDT
Eggs (brown),1 piece,12.81,BDT
"Fish (live, pangasius)",KG,195.0,BDT
Oil (palm),L,133.5,BDT
Lentils (masur),KG,110.0,BDT
Chili (green),KG,197.5,BDT
"Garlic (imported, China)",KG,210.0,BDT
Gourd (bottle),KG,55.0,BDT
"Onions (imported, China)",KG,100.0,BDT
Papaya (green),KG,35.0,BDT
Snake gourd,KG,45.0,BDT
Spinach (malabar),KG,35.0,BDT
Wheat flour,KG,57.5,BDT
Eggs (brown),1 piece,13.5,BDT
"Fish (live, pangasius)",KG,175.0,BDT
"Oil (soybean, fortified)",L,132.5,BDT
Chili (green),KG,160.0,BDT
"Garlic (imported, China)",KG,211.25,BDT
Gourd (bottle),KG,65.0,BDT
"Onions (imported, China)",KG,100.0,BDT
Snake gourd,KG,41.75,BDT
Spinach (malabar),KG,28.25,BDT
"Potatoes (Holland, white)",KG,53.25,BDT
Rice (coarse),KG,52.0,BDT
Wheat flour,KG,53.0,BDT
Eggs (brown),1 piece,12.38,BDT
"Fish (live, pangasius)",KG,170.0,BDT
"Meat (chicken, broiler)",KG,170.0,BDT
Sugar,KG,129.0,BDT
Oil (palm),L,129.0,BDT
"Oil (soybean, fortified)",L,150.0,BDT
Lentils (masur),KG,106.5,BDT
Bananas (ripe),1 piece,5.62,BDT
"Garlic (imported, China)",KG,216.25,BDT
Gourd (bottle),KG,65.0,BDT
Snake gourd,KG,47.5,BDT
Spinach (malabar),KG,32.5,BDT
Wheat flour,KG,54.5,BDT
Eggs (brown),1 piece,12.5,BDT
"Fish (live, pangasius)",KG,205.0,BDT
"Meat (chicken, broiler)",KG,163.75,BDT
Oil (palm),L,136.5,BDT
"Oil (soybean, fortified)",L,125.0,BDT
Lentils (masur),KG,127.5,BDT
Chili (green),KG,220.0,BDT
"Garlic (imported, China)",KG,227.5,BDT
Papaya (green),KG,36.75,BDT
Snake gourd,KG,45.0,BDT
Spinach (malabar),KG,29.0,BDT
"Potatoes (Holland, white)",KG,53.25,BDT
Wheat flour,KG,56.5,BDT
"Fish (live, pangasius)",KG,155.0,BDT
"Meat (chicken, broiler)",KG,172.5,BDT
Oil (palm),L,138.25,BDT
"Oil (soybean, fortified)",L,145.0,BDT
Lentils (masur),KG,109.0,BDT
Chili (green),KG,210.0,BDT
"Garlic (imported, China)",KG,210.0,BDT
"Onions (imported, China)",KG,105.5,BDT
Papaya (green),KG,30.75,BDT
Snake gourd,KG,45.0,BDT
Spinach (malabar),KG,30.0,BDT
"Potatoes (Holland, white)",KG,54.25,BDT
Rice (coarse),KG,46.5,BDT
Sugar,KG,129.0,BDT
Lentils (masur),KG,118.75,BDT
Bananas (ripe),1 piece,5.62,BDT
Chili (green),KG,210.0,BDT
Gourd (bottle),KG,50.0,BDT
"Onions (imported, China)",KG,111.25,BDT
Snake gourd,KG,52.5,BDT
Spinach (malabar),KG,35.0,BDT
"Potatoes (Holland, white)",KG,53.25,BDT
Wheat flour,KG,63.75,BDT
Eggs (brown),1 piece,13.38,BDT
"Meat (chicken, broiler)",KG,165.0,BDT
"Oil (soybean, fortified)",L,148.0,BDT
Lentils (masur),KG,127.75,BDT
Bananas (ripe),1 piece,6.25,BDT
Chili (green),KG,182.5,BDT
"Garlic (imported, China)",KG,199.5,BDT
Gourd (bottle),KG,62.5,BDT
"Onions (imported, China)",KG,105.5,BDT
Papaya (green),KG,25.75,BDT
Snake gourd,KG,50.0,BDT
Spinach (malabar),KG,38.75,BDT
Spinach (red),KG,50.0,BDT
"Potatoes (Holland, white)",KG,53.5,BDT
Rice (coarse),KG,51.75,BDT
Wheat flour,KG,55.5,BDT
